Link,Title,Location,Salary,Summary
https://kr.indeed.com/viewjob?jk=job_a0dda478567db352,"(주)트윔 개발자(경력직) 빅데이터,영상처리,머신비전/AI 딥러닝",트윔경기도 화성,,"자기주도적으로 진행한 경험 - Python/C/C++ 능통자 - 데이터... RNN 등 딥러닝 이론 및 알고리즘 유경험자 - C/C++, Java, Python/TensorFlow/Caffe 사용가능자 - Matlab/R 분석..."
https://kr.indeed.com/viewjob?jk=job_f04e759ab4de87e3,Product Engineer - Fab Analytics,Siemens Electronic Design Automation (Korea) LLC4.0경기도 성남,,"working as process, integration or yield engineer. Python programming languages. UNIX/Linux operating systems is required..."
https://kr.indeed.com/viewjob?jk=job_3ad6a46b279e6302,AI Engineer : 의료 영상 데이터 활용 딥러닝 알고리즘 개발,테서서울 강남구,,모바일·게임>빅데이터·AI(인공지능)>인공지능(AI)|인터넷·IT·통신·모바일·게임>빅데이터·AI(인공지능)> Python|인터넷·IT·통신·모바일·게임>빅데이터·AI(인공지능)>머신러닝|인터넷·IT·통신·모바일·게임>빅데이터...
https://kr.indeed.com/viewjob?jk=job_83b17821d0613f54,Security/ASDL 경력인재 - 자동차 전장부품 우량대기업,에스에프인촌서울,,바일·게임>응용프로그래머>Linux|인터넷·IT·통신·모바일·게임>응용프로그래머>Android|인터넷·IT·통신·모바일·게임>응용프로그래머> Python|전자·기계·기술·화학·연구개발>연구원·연구개발>커넥티드카소프트웨어기술개발
https://kr.indeed.com/viewjob?jk=job_2ba9d984a21e03b1,[전문연구요원] R&D 부문 개발자 병역특례,스칼라웍스서울 금천구,,"Data Analysis (R, SQL 등의 활용 능력 우대)3) Python Application 관련 개발 업무 (코딩 또는 문제해결) 4) ML... 게임>빅데이터·AI(인공지능)> Python|인터넷·IT·통신·모바일·게임..."
https://kr.indeed.com/viewjob?jk=job_ea2ab43c3a607fb1,Python 기반 빅데이터 처리 개발자,드림어스컴퍼니서울 서초구,,인터넷·IT·통신·모바일·게임>웹프로그래머> Python|인터넷·IT·통신·모바일·게임>응용프로그래머> Python|인터넷·IT·통신·모바일·게임>통신·모바일>플랫폼(VM)
https://kr.indeed.com/viewjob?jk=job_a6bf6722793470cf,카카오 지갑/인증 플랫폼 서버 개발자 모집,카카오4.0성남 판교역,,"Docker를 이용한 서비스 운영 경험 테스트 구축, 지속적인 구조 개선 경험 웹 Front End 개발 경험 Python 을 사용한 서비스 개발 경험 필독사항 ※ 카카오 테크 직군의 경우, 개발 경력 1년 미만일 시..."
https://kr.indeed.com/viewjob?jk=job_43f8edb38c7888c7,[위메프오] 서버개발자,위메프2.8대한민국,,"데이터베이스 분산설계 및 미들웨어 개발 [자격사항] - 서버 프로그래밍 언어(PHP, Go, C/C++, Python, Java) 중 1개 이상 사용이 가능한 분 - 자료구조, 알고리즘, 분산처리 등 SW관련 기본지식 보유..."
https://kr.indeed.com/viewjob?jk=job_71edccc74bbcab07,"SK 바이오사이언스 ‘21년 4분기 영업관리 경력사원 (경영/경제, 산업공학 전공 우대)",SK 바이오사이언스성남 분당구,,"학사 이상 2) 요구전공 : 경영/경제, 산업공학 등 3) 경력 : 3~5년 우대 1) Tableau, Python, R 등 다양한 Data 분석 Tool 활용가능자 우대 2) SAP ERP SD모듈 활용가능자 우대 3..."
https://kr.indeed.com/viewjob?jk=job_70df1fb5c7c70474,MySQL Engineer 모집,카카오4.0성남 판교역,,"도전하는 것이 즐거운 분 안 되는 것에 짜증 내기보다는 긍정적으로 어떻게 해야 할지를 고민할 수 있는 분 python, go, bash 등 스크립팅 언어를 하나 이상 사용하실 수 있는 분 MySQL에 대해 전반적으로 이해하고..."
https://kr.indeed.com/viewjob?jk=job_3822d1c0cf5cb8db,BackEnd Engineer,Streami서울,"연봉 50,000,000원 - 150,000,000원","Javascript, Java, Python 중 적어도 하나 이상의 경험을... 구축을 경험하신 분 * Modern Javascript, Java, Python 중 하나 이상에 탁월한 능력을 지닌 분 * AWS 상에서 제품을 구축..."
https://kr.indeed.com/viewjob?jk=job_1be2f858ff81be64,Application Engineer - IP Validation,Siemens Electronic Design Automation (Korea) LLC4.0경기도 성남,,"programming and scripting languages (one or more of: Python [preferred], Perl, Tcl, Shell-based) Being familiar with OOP..."
https://kr.indeed.com/viewjob?jk=job_71c47ac87bb4087e,기술 인턴 인공지능 응용 연구/개발 인턴,써로마인드로보틱스서울 관악구,,"6개월) (협의) *모집 절차: 서류 à인터뷰(오프라인) *지원 자격: 프로그래밍 언어 활용 능력: Python, C, C++ 중 1가지 이상 데이터구조, 알고리즘 과목 이수 머신러닝과 딥러닝의 기본 개념 이해 머신러닝..."
